"rxn"	"v_exp_lb"	"v_sm"	"% diff from v_exp_lb"
"NDPK4_c"	 2.322939632743820E-03	 2.225090681214808E-03	-4.21E+00
"NDPK5_c"	 3.625703247712480E-03	 3.472972876154366E-03	-4.21E+00
"NDPK6_c"	 2.322939632743820E-03	 2.072356169439833E-03	-1.08E+01
"NDPK7_c"	 3.625703247712480E-03	 3.472968735937506E-03	-4.21E+00
"NDPK8_c"	 2.323000000000000E-03	 2.225146979211867E-03	-4.21E+00
"NH4t_c_e"	 2.756316799374078E+00	 2.758563399982441E+00	 8.15E-02
"NH4t_c_m"	-2.596899625176562E+00	-2.775308463313247E+00	 6.87E+00
"O2t_c_e"	 1.596784226096333E+01	 1.596784230000000E+01	 2.44E-07
"O2t_c_m"	 1.506562451360893E+01	 1.537807675591322E+01	 2.07E+00
"OCBT_c"	 6.199252923162489E-02	 9.225709898057566E-02	 4.88E+01
"OMCDC_c"	 1.286426881921604E-01	 1.403019001431349E-01	 9.06E+00
"OMPDC_c"	 7.624337076837510E-02	 6.749849504471599E-02	-1.15E+01
"ORNCD_m"	 4.404266000000000E-01	 4.101621068316555E-01	-6.87E+00
"ORNtpa_m"	 1.297645747443583E-01	 1.600290679127027E-01	 2.33E+01
"ORPT_c"	-7.624337076837510E-02	-6.749849504471599E-02	-1.15E+01
"P5CD2_m"	 4.404266000000000E-01	 3.901883510972778E-01	-1.14E+01
"PAILS_rm"	 4.992262389346726E-03	 3.605907826755740E-03	-2.78E+01
"PAPSR_c"	 2.055699132142089E-02	 4.710184652421420E-02	 1.29E+02
"PAP_rm"	 2.055815105164193E-03	 3.651034162481432E-03	 7.76E+01
"PC_c"	 1.393151016894082E+00	 1.755318064084804E+00	 2.60E+01
"PDH_m"	 2.965654300000000E+00	 2.926134338562853E+00	-1.33E+00
"PDMEMT_rm"	 1.112683831740146E-02	 1.065812917907893E-02	-4.21E+00
"PEMT_rm"	 1.112683831740146E-02	 1.065812917907893E-02	-4.21E+00
"PFK_c"	 3.867396600000000E+00	 3.222614002280655E+00	-1.67E+01
"PGI_c"	 1.409600220464013E+00	 1.433377820123433E+00	 1.69E+00
"PGK_c"	 7.091690743638393E+00	 7.441944591843813E+00	 4.94E+00
"PGMT_c"	 4.782766089244437E-01	 4.581279243302223E-01	-4.21E+00
"PGM_c"	 4.108592700000000E+00	 4.458846548205421E+00	 8.52E+00
"PHETA1_c"	-6.038676603283065E-02	-5.885227434651365E-02	-2.54E+00
"PItps_e"	 2.115400000000000E-01	 2.027141275974532E-01	-4.17E+00
"PItps_m"	 7.733920576150966E+01	 7.943021777095689E+01	 2.70E+00
"PKETX_c"	-9.132142089751660E-08	 0.000000000000000E+00	-1.00E+02
"PMANM_c"	-1.894805892809758E-01	-1.814985205972205E-01	-4.21E+00
"PMEMT_rm"	 1.112683831740146E-02	 1.065812917907893E-02	-4.21E+00
"PMEVK_c"	 1.240936000000000E-01	 1.188662489188965E-01	-4.21E+00
"PPA_c"	 2.160268303895857E+00	 3.321670812172083E+00	 5.38E+01
"PPND2_c"	 3.147817081295786E-02	 4.417006507450688E-02	 4.03E+01
"PPNDH_c"	 6.038676603283065E-02	 5.885227434651365E-02	-2.54E+00
"PRAGSi_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
"PRAIS_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
"PRAIi_c"	 5.968854036286570E-01	 1.846823952212022E-01	-6.91E+01
"PRAMPC_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"PRASCSi_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
"PRATPP_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"PRFGS_c"	 7.278047360172257E-02	 7.575428721554743E-02	 4.09E+00
