,old_min,old_max,new_min,new_max,diff_min,diff_max
C3STDH2_c,0.04002201425975164,0.040022014247867436,0.03998977693447648,0.039989776934374256,3.2237325275158435e-05,3.2237313493180264e-05
C3STDH1_c,0.04002201425975164,0.040022014247842665,0.03998977693447648,0.03998977693438612,3.2237325275158435e-05,3.2237313456542904e-05
C4STMO1_c,0.04002201425975164,0.040022014247842665,0.03998977693447648,0.03998977693438612,3.2237325275158435e-05,3.2237313456542904e-05
C4STMO2_c,0.04002201425975164,0.040022014247842665,0.03998977693447648,0.03998977693438612,3.2237325275158435e-05,3.2237313456542904e-05
C4STMO3_c,0.04002201425975164,0.040022014247842665,0.03998977693447648,0.03998977693438612,3.2237325275158435e-05,3.2237313456542904e-05
C4STMO4_c,0.04002201425975164,0.040022014247842665,0.03998977693447648,0.03998977693438612,3.2237325275158435e-05,3.2237313456542904e-05
C5STDS_c,0.0,-1.1695732340928925e-11,0.0,-8.871191981811929e-14,0.0,-1.1607020421110806e-11
C8STI_c,0.040022014259751645,0.040022014247867436,0.03998977693447648,0.039989776934374256,3.2237325275165374e-05,3.2237313493180264e-05
C24STR_r,0.0,-1.1591948913816662e-11,0.0,-8.792472438682392e-14,0.0,-1.1504024189429837e-11
CBPS_c,0.10857928650513422,0.10857928567913927,0.10849182699461361,0.10849182698761763,8.745951052060996e-05,8.74586915216441e-05
CRNOAT_c,0.0,-4.167926319568743e-09,0.0,-3.46079223168667e-11,0.0,-4.133318397251876e-09
CRNOAT_x,0.0,-8.26639649585532e-10,0.0,-7.172692644993944e-12,0.0,-8.194669569405381e-10
CAT_c,1.951007186474385e-05,1.9508769550210235e-05,1.94937054759245e-05,1.94936998218307e-05,1.6366388819350223e-08,1.5069728379532972e-08
CAT_x,6.521547036129482e-10,-3.7489616231015474e-10,1.9040442929513892e-14,-3.0735606168069857e-12,6.521356631700187e-10,-3.7182260169334776e-10
CERH124A_r,0.0,0.0007882781032068886,0.0,0.0009071271002620813,0.0,-0.0001188489970551927
CERH124B_r,0.0,0.0,0.0,0.0,0.0,0.0
CERH126A_r,0.0,0.0007882781036536311,0.0,0.0009071271002700571,0.0,-0.00011884899661642595
CERH126B_r,0.0,0.0,0.0,0.0,0.0,0.0
CERH2A24_r,0.0,0.0,0.0,0.0,0.0,0.0
CERH2A26_r,0.0,-9.149525476728281e-12,0.0,-7.468811069039579e-14,0.0,-9.074837366037885e-12
CERH324_r,0.0,0.0,0.0,0.0,0.0,0.0
CERH326_r,0.0,-9.085599821217332e-12,0.0,-7.40377004383977e-14,0.0,-9.011562120778934e-12
CHTNDA_c,0.0,0.0,0.0,0.0,0.0,0.0
CHTNS_c,0.009235369212682549,0.009235369212481024,0.009227930216748632,0.009227930216746921,7.43899593391717e-06,7.438995734103046e-06
CHOLK_c,7.723031804099237e-11,-2.270608827243262e-09,-4.8640036802118825e-14,-1.1992897680024105e-11,7.72789580777945e-11,-2.258615929563238e-09
CHLPCTD_c,7.730699548310233e-11,-2.250195902355343e-09,2.496097253599677e-14,-1.7440039406275293e-11,7.728203451056634e-11,-2.2327558629490674e-09
