rxn	upper-bound
PROSYN-rt2172	5.01780505
PROSYN-rt2173	8.73438459
PROSYN-rt2181	1.81350568
PROSYN-rt2183	4.28894199
PROSYN-rt2190	4.36204908
PROSYN-rt2202	3.90858287
PROSYN-rt2204	6.57015960
PROSYN-rt2220	2.40174302
PROSYN-rt2224	2.12783366
PROSYN-rt2234_c	3.34218152
PROSYN-rt2234_m	3.34218152
PROSYN-rt2239	3.47814202
PROSYN-rt2245	3.64604284
PROSYN-rt2246	3.75605292
PROSYN-rt2265	2.71131456
PROSYN-rt2267	4.03270802
PROSYN-rt2279	1.16964650
PROSYN-rt2297_l	1.68991054
PROSYN-rt2297_rm	1.68991054
PROSYN-rt2305	3.52702258
PROSYN-rt2306	10.24880793
PROSYN-rt2309	4.24040148
PROSYN-rt2312	4.53064621
PROSYN-rt2317	8.74873212
PROSYN-rt2336	2.41600590
PROSYN-rt2348	5.48857499
PROSYN-rt2354	2.12059680
PROSYN-rt2385	1.44173636
PROSYN-rt2393	3.76581524
PROSYN-rt2404	2.93668510
PROSYN-rt2416	2.55581567
PROSYN-rt2418	2.80883256
PROSYN-rt2434_m	22.65391657
PROSYN-rt2434_v	22.65391657
PROSYN-rt2443	3.97985594
PROSYN-rt2444	1.03174111
PROSYN-rt2473	1.83433326
PROSYN-rt2476	2.95163102
PROSYN-rt2477	3.64581398
PROSYN-rt2496	2.29239862
PROSYN-rt2501	3.73126262
PROSYN-rt2517_c	2.12686873
PROSYN-rt2517_v	2.12686873
PROSYN-rt2528	3.28312840
PROSYN-rt2529_gm	2.63205922
PROSYN-rt2529_mm	2.63205922
PROSYN-rt2529_vm	2.63205922
PROSYN-rt2532	3.37043509
PROSYN-rt2544	4.69347919
PROSYN-rt2557	2.76334628
PROSYN-rt2565	5.34940213
PROSYN-rt2566	2.29530191
PROSYN-rt2569	2.77628530
PROSYN-rt2573	1.53503987
PROSYN-rt2574	3.71019309
PROSYN-rt2577	6.90559354
PROSYN-rt2578	2.13184478
PROSYN-rt2593	3.51230841
PROSYN-rt2613	2.40817035
PROSYN-rt2621	3.00287244
