index	prosynSlack(% higher/lower than measured value)
ASC1	-1.000000000000000E+02
RPL10	-3.551549717570667E+01
RPL11A	 1.228920075178851E+01
RPL12A	-4.573098215757204E+01
RPL13A	 5.214764279576008E+01
RPL15A	-4.912522485953593E+00
RPL16A	-4.314298200377321E+01
RPL17A	-5.756117788774322E+01
RPL18A	-2.368634851532623E+01
RPL19A	-5.290713258044389E+01
RPL1A	-3.009452772998078E+01
RPL20A	-4.415242876705839E+01
RPL21A	-1.000000000000000E+02
RPL21B	-4.615676579169581E+01
RPL22A	-1.000000000000000E+02
RPL23A	-4.926873155376684E+01
RPL25	-5.226750380801690E+01
RPL26A	-6.388780879702450E+01
RPL27A	-3.837297435563255E+01
RPL28	-6.166016135329450E+01
RPL3	-3.399971970863734E+01
RPL30	-1.000000000000000E+02
RPL31A	-5.390150332591689E+01
RPL32	-2.688655818507937E+01
RPL33A	-8.025087514677132E+01
RPL34A	 6.131041725290836E-01
RPL35A	 1.820140280851939E+01
RPL36A	-2.693996558867065E+01
RPL37A	 4.191078230448885E+01
RPL38	-1.000000000000000E+02
RPL42A	-2.384037384271822E+00
RPL43A	-3.116156327108992E+00
RPL4A	-5.465753377749737E+01
RPL5	-4.251171724555149E+01
RPL6A	-5.589974641020628E+01
RPL7A	-4.380719415457002E+01
RPL8A	-1.000000000000000E+02
RPL8B	 3.100126152748488E+02
RPL9A	-7.806449375042382E+01
RPP0	-1.000000000000000E+02
RPP2A	-1.000000000000000E+02
RPS0A	-5.324067703945209E+01
RPS10A	-4.752823949648155E+01
RPS11A	-1.978612012133332E+01
RPS12	-6.390180995350100E+01
RPS13	 6.920542322060659E+00
RPS14A	-2.341899925714291E+01
RPS15	-1.000000000000000E+02
RPS16A	-6.513040594118390E+01
RPS17A	-1.000000000000000E+02
RPS18A	-6.466091186217740E+01
RPS19A	-7.472501467597068E+01
RPS1A	-6.003145713770860E+01
RPS2	-2.877850217949933E+01
RPS20	-6.274993346495547E+01
RPS21A	-7.108519800111630E+01
RPS22A	-5.881753303454001E+01
RPS23A	 2.274440435702901E+02
RPS24A	 3.447490089661966E+01
RPS25A	-1.000000000000000E+02
RPS26A	-3.950596916961928E+01
RPS27A	-5.717178771905716E+01
RPS28A	-4.831014936766304E+01
RPS29A	-3.813207845258344E+01
RPS3	-7.429238450563787E+01
RPS31	-1.000000000000000E+02
RPS4A	-5.897842560845935E+01
RPS5	-6.977707336170238E+01
RPS6A	 7.178359357934380E+00
RPS7A	-5.082337141815978E+01
RPS8A	-5.402706783975544E+01
RPS9A	-5.917463395650804E+01
IMG1	-9.999999999999999E+01
