rxn_src	dir	enz	protein_stoich	status	comments
4ABZt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
4AMPMS_c	FWD	rt2779	rt2779:2	protStoichAsgnAuto	
4CMCOAL_c	FWD	rt3465	rt3465_c:1	protStoichAsgnAuto	
4CMCOAL_c	FWD	rt5332	rt5332_c:1	protStoichAsgnAuto	
4CMCOAL_c	FWD	rt6434_c	rt6434_c:1	protStoichAsgnAuto	
4CMCOAL_c	FWD	rt8267_c	rt8267_c:1	protStoichAsgnAuto	
4CMCOAL_x	FWD	rt3465_x	rt3465_x:1	protStoichAsgnAuto	
4CMCOAL_x	FWD	rt5332_x	rt5332_x:1	protStoichAsgnAuto	
4CMCOAL_x	FWD	rt6434_x	rt6434_x:1	protStoichAsgnAuto	
4CMCOAL_x	FWD	rt8267_x	rt8267_x:1	protStoichAsgnAuto	
4DPMIPPH_c	FWD	rt1973	rt1973:1	protStoichAsgnAuto	
4DPMIPPH_c	REV	rt1973	rt1973:1	protStoichAsgnAuto	
4H2OGLTt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4H2OGLTt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
4H2OGLTt_c_x	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4H2OGLTt_c_x	REV	SPONT	zeroCost	protStoichAsgnAuto	
4HBZCOAS_c	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4HBZF_c	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4HBZNPT_m	FWD	rt6869	rt6869:1	protStoichAsgnAuto	
4HBZt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
4HBZt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
4HGLSD_m	FWD	rt0201	rt0201:1	protStoichAsgnAuto	 
4HPEOR_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	Left as UNKNOWN since no enzyme was found in scRBA or RT models
4HPLH_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	Left as UNKNOWN since no enzyme was found in scRBA or RT models
