,fluxes,reduced_costs,abs,unique
PPPG9t_c_m,1.2744173486744218e-07,-2.0,1.2744173486744218e-07,False
PRPPt_c_m,0.0,-2.0,0.0,False
EX_ptrc_e,0.0,15291.99999999999,0.0,True
PYDXK_c,0.0,-2.0,0.0,False
PYDAMK_c,0.0,5.000000000000455,0.0,False
HYPOE_c,0.0,508.3333333333311,0.0,False
EX_pydxn_e,-0.0,-2.0,0.0,True
PMDPHT_c,0.0,-2.0,0.0,False
PYNP2r_c,0.0,2.0,0.0,False
PPIt_c_m,1.130626090180891,-2.0,1.130626090180891,False
EX_pyr_e,0.0,6032.666666666667,0.0,True
QULNt_c_m,0.0,2.0,0.0,False
TRDRDt_c_x,0.0,2.0,0.0,False
EX_ribflv_e,-0.0001274417348674429,2.0,0.0001274417348674429,True
RIBFLVt_c_m,0.0,-2.0,0.0,False
RIBFLVt_c_e,0.0001274417348674429,-2.0,0.0001274417348674429,True
RIBt_c_e,0.0,-2.0,0.0,True
AHCYSt_c_m,0.0,2.0,0.0,False
EX_amet_e,0.0,49327.99999999995,0.0,False
EX_mmet_e,-0.0,-2.0,0.0,False
SERt_c_m,-0.9228855547543152,2.0,0.9228855547543152,False
EX_g3pc_e,0.0,32903.3333333333,0.0,True
EX_na1_e,0.0,2.0,0.0,False
SPMDAT_c,0.0,-2.0,0.0,True
EX_spmd_e,-0.0,-2.0,0.0,True
EX_sprm_e,-0.0,-2.0,0.0,True
SQLt_c_r,0.001376404119634315,-2.0,0.001376404119634315,False
SSQ23EPXt_c_r,0.001376404119634315,-2.0,0.001376404119634315,False
EX_ocdca_e,0.0,74904.6666666665,0.0,True
EX_succ_e,0.0,9512.666666666672,0.0,True
SUCCt_c_e,0.0,-2.0,0.0,True
EX_sucr_e,0.0,29742.666666666657,0.0,False
EX_so4_e,-0.01212977989274754,2.0,0.01212977989274754,False
EX_so3_e,-0.0,-2.0,0.0,True
EX_taur_e,-0.0,-2.0,0.0,False
TTCCOAt_c_r,7.92700456078009e-05,-2.0,7.92700456078009e-05,False
THMP_c,0.0,515.333333333331,0.0,False
TMN_c,0.0,-2.0000000000013074,0.0,False
EX_thmpp_e,0.0,2.0,0.0,False
EX_thm_e,-1.2744173486744218e-07,-2.0,1.2744173486744218e-07,False
EX_thmmp_e,0.0,0.0,0.0,False
TMPK_c,0.0,-2.0,0.0,False
THZPSN2_c,0.0,47841.999999999956,0.0,True
THZPSN1_c,0.0,47837.999999999956,0.0,True
THRt_c_m,0.0,-2.0,0.0,False
EX_thymd_e,0.0,29759.3333333333,0.0,True
TMDK1_c,0.0,515.3333333333321,0.0,False
THYMDt_c_e,0.0,2.0,0.0,True
TREt_c_v,0.0,2.0,0.0,True
TRPt_c_m,0.0,-2.0,0.0,False
EX_ind3eth_e,0.0,33008.66666666663,0.0,True
IND3ETHt_c_e,0.0,-2.0,0.0,True
IND3ETHt_c_m,0.0,-2.0,0.0,False
TYRt_c_m,0.0,-2.0,0.0,False
TYRt_c_x,0.0,-2.0,0.0,False
UMPt_c_n,0.0,-2.0,0.0,True
EX_ura_e,0.0,9365.999999999996,0.0,True
EX_urea_e,-0.0,-2.0,0.0,False
EX_uri_e,0.0,22504.666666666657,0.0,True
