id,type,val,vLB,vUB
'DIL_lys__L_d1.f','net',100,0,10000000
'DIL_lys__L_d2.f','net',100,0,10000000
'DIL_lys__L_i1.f','net',1.287424516,0,10000000
'DIL_lys__L_i2.f','net',3.532696535,0,10000000
'DIL_mal__L_c1.f','net',96.15743501,0,10000000
'DIL_mal__L_c2.f','net',96.67399561,0,10000000
'DIL_mal__L_d1.f','net',100,0,10000000
'DIL_mal__L_d2.f','net',100,0,10000000
'DIL_mal__L_i1.f','net',3.842564894,0,10000000
'DIL_mal__L_i2.f','net',3.32600429,0,10000000
'DIL_mal__L_m1.f','net',1.00E-07,0,10000000
'DIL_mal__L_m2.f','net',1.00E-07,0,10000000
'DIL_met__L_c1.f','net',97.12306311,0,10000000
'DIL_met__L_c2.f','net',94.22813467,0,10000000
'DIL_met__L_d1.f','net',100,0,10000000
'DIL_met__L_d2.f','net',100,0,10000000
'DIL_met__L_i1.f','net',2.876936893,0,10000000
'DIL_met__L_i2.f','net',5.771865331,0,10000000
'DIL_orn_c1.f','net',77.59940684,0,10000000
'DIL_orn_c2.f','net',92.38620124,0,10000000
'DIL_orn_d1.f','net',100,0,10000000
'DIL_orn_d2.f','net',100,0,10000000
'DIL_orn_i1.f','net',-0.000322356,0,10000000
'DIL_orn_i2.f','net',1.509816961,0,10000000
'DIL_orn_m1.f','net',22.40091552,0,10000000
'DIL_orn_m2.f','net',6.103981796,0,10000000
'DIL_orot_c1.f','net',96.03644394,0,10000000
'DIL_orot_c2.f','net',91.41143781,0,10000000
'DIL_orot_d1.f','net',100,0,10000000
'DIL_orot_d2.f','net',100,0,10000000
'DIL_orot_i1.f','net',3.963556061,0,10000000
'DIL_orot_i2.f','net',8.588562191,0,10000000
'DIL_pep_c1.f','net',95.22277856,0,10000000
'DIL_pep_c2.f','net',72.50197725,0,10000000
'DIL_pep_d1.f','net',100,0,10000000
'DIL_pep_d2.f','net',100,0,10000000
'DIL_pep_i1.f','net',4.777221438,0,10000000
'DIL_pep_i2.f','net',27.49802275,0,10000000
'DIL_phe__L_c1.f','net',95.51486604,0,10000000
'DIL_phe__L_c2.f','net',96.68712354,0,10000000
'DIL_phe__L_d1.f','net',100,0,10000000
'DIL_phe__L_d2.f','net',100,0,10000000
'DIL_phe__L_i1.f','net',4.485133959,0,10000000
'DIL_phe__L_i2.f','net',3.312876464,0,10000000
'DIL_pro__L_c1.f','net',39.54651824,0,10000000
'DIL_pro__L_c2.f','net',92.02394718,0,10000000
