id	name	uniprot	MW (g/mmol)	type	conc (g/gDW)	vtrans (mmol/gDW/h)	c_avg
A0A0K3CA06	A0A0K3CA06	A0A0K3CA06	42.03774	truedata_enz	8.8452e-07	7.99561536847604e-09	1.89e-06
A0A0K3CA08	A0A0K3CA08	A0A0K3CA08	135.02886999999998	truedata_enz	9.8748e-06	2.77897904351862e-08	2.11e-05
A0A0K3CA13	A0A0K3CA13	A0A0K3CA13	48.25460000000001	truedata_enz	4.8204e-08	3.796015302168083e-10	1.03e-07
A0A0K3CA27	A0A0K3CA27	A0A0K3CA27	113.12419000000004	truedata_enz	2.7705600000000004e-06	9.306699124210301e-09	5.92e-06
A0A0K3CA31	A0A0K3CA31	A0A0K3CA31	63.552850000000014	truedata_enz	6.505200000000001e-07	3.889638308903534e-09	1.39e-06
A0A0K3CA34	A0A0K3CA34	A0A0K3CA34	53.91262999999999	truedata_enz	2.7986400000000004e-06	1.972604935058817e-08	5.98e-06
A0A0K3CA50	A0A0K3CA50	A0A0K3CA50	80.35594999999999	truedata_enz	4.6425600000000005e-05	2.1954476302003774e-07	9.92e-05
A0A0K3CA80	A0A0K3CA80	A0A0K3CA80	74.18738000000002	truedata_enz	2.90628e-06	1.488644564614628e-08	6.21e-06
A0A0K3CA99	A0A0K3CA99	A0A0K3CA99	44.71656000000001	truedata_enz	6.177600000000001e-06	5.249706149131329e-08	1.32e-05
A0A0K3CAB2	A0A0K3CAB2	A0A0K3CAB2	39.93188	truedata_enz	5.428800000000001e-08	5.166157967017832e-10	1.16e-07
A0A0K3CAB9	A0A0K3CAB9	A0A0K3CAB9	39.40868	truedata_enz	6.7392e-07	6.498304434454543e-09	1.44e-06
A0A0K3CAD1	A0A0K3CAD1	A0A0K3CAD1	54.223339999999986	truedata_enz	5.148000000000001e-08	3.607745299348953e-10	1.1e-07
A0A0K3CAD9	A0A0K3CAD9	A0A0K3CAD9	42.76373	truedata_enz	2.33064e-06	2.0710148530074435e-08	4.98e-06
A0A0K3CAE6	A0A0K3CAE6	A0A0K3CAE6	112.9024	truedata_enz	1.2682800000000002e-05	4.268699336772293e-08	2.71e-05
A0A0K3CAG5	A0A0K3CAG5	A0A0K3CAG5	109.68042000000004	truedata_enz	2.4336e-05	8.431477559987459e-08	5.2e-05
A0A0K3CAH4	A0A0K3CAH4	A0A0K3CAH4	23.795609999999996	truedata_enz	2.65356e-06	4.237558104204936e-08	5.67e-06
A0A0K3CAH7	A0A0K3CAH7	A0A0K3CAH7	20.84603	truedata_enz	7.8156e-06	1.424697172555158e-07	1.67e-05
A0A0K3CAH9	A0A0K3CAH9	A0A0K3CAH9	105.95684	truedata_enz	1.89072e-05	6.780813772853173e-08	4.04e-05
A0A0K3CAJ6	A0A0K3CAJ6	A0A0K3CAJ6	58.69157	truedata_enz	1.4742e-07	9.544743819257178e-10	3.15e-07
A0A0K3CAK4	A0A0K3CAK4	A0A0K3CAK4	105.36333	truedata_enz	3.870360000000001e-06	1.3958715997301909e-08	8.27e-06
