id	rxn_src	enz	protein_stoich
RXN-4HTHRS_c_FWD-rt1374	4HTHRS_c	rt1374	rt1374:1
RXN-4MOPR_m_FWD-rt4198	4MOPR_m	rt4198	rt4198:1
RXN-5AOPt_c_m_FWD-SPONT	5AOPt_c_m		zeroCost
RXN-5AOPt_c_m_REV-SPONT	5AOPt_c_m		zeroCost
RXN-5AOPtps_e_FWD-rt2901	5AOPtps_e	rt2901	rt2901:1
RXN-5FTHFt_c_e_FWD-SPONT	5FTHFt_c_e		zeroCost
RXN-5FTHFt_c_e_REV-SPONT	5FTHFt_c_e		zeroCost
RXN-6DPMIPPH_c_FWD-rt1395	6DPMIPPH_c	rt1395	rt1395:1
RXN-6DPMIPPH_c_FWD-rt1973	6DPMIPPH_c	rt1973	rt1973:1
RXN-6DPMIPPH_c_REV-rt1395	6DPMIPPH_c	rt1395	rt1395:1
RXN-6DPMIPPH_c_REV-rt1973	6DPMIPPH_c	rt1973	rt1973:1
RXN-AACTOOR_c_FWD-SPONT	AACTOOR_c		zeroCost
RXN-AASADy_c_FWD-rt1127rt1852	AASADy_c	rt1127rt1852	rt1127:1,rt1852:1
RXN-AATA_c_FWD-rt0172	AATA_c	rt0172	rt0172:1
RXN-AATA_c_FWD-rt4039	AATA_c	rt4039	rt4039:1
RXN-AATA_c_FWD-rt7471	AATA_c	rt7471	rt7471:1
RXN-AATA_c_REV-rt0172	AATA_c	rt0172	rt0172:1
RXN-AATA_c_REV-rt4039	AATA_c	rt4039	rt4039:1
RXN-AATA_c_REV-rt7471	AATA_c	rt7471	rt7471:1
RXN-ABTA_c_FWD-rt2569	ABTA_c	rt2569	rt2569:1
RXN-ABTA_c_FWD-rt7537	ABTA_c	rt7537	rt7537:1
RXN-ABTD2Dx_c_FWD-rt1622	ABTD2Dx_c	rt1622	rt1622:1
RXN-ABTD2Dx_c_REV-rt1622	ABTD2Dx_c	rt1622	rt1622:1
RXN-ABTD4Dx_c_FWD-rt0620	ABTD4Dx_c	rt0620	rt0620:1
RXN-ABTD4Dx_c_REV-rt0620	ABTD4Dx_c	rt0620	rt0620:1
RXN-ABTDt_c_e_FWD-SPONT	ABTDt_c_e		zeroCost
RXN-ABTt_c_e_FWD-rt8486	ABTt_c_e	rt8486	rt8486:1
RXN-ABTt_c_e_REV-rt8486	ABTt_c_e	rt8486	rt8486:1
RXN-ABUTD_m_FWD-rt2756	ABUTD_m	rt2756	rt2756:1
RXN-ACACT100i_m_FWD-rt0517	ACACT100i_m	rt0517	rt0517:1
RXN-ACACT100i_x_FWD-rt0697	ACACT100i_x	rt0697	rt0697:1
RXN-ACACT100i_x_FWD-rt5445	ACACT100i_x	rt5445	rt5445:1
RXN-ACACT100i_x_FWD-rt6860	ACACT100i_x	rt6860	rt6860:1
RXN-ACACT101ei_x_FWD-rt0697	ACACT101ei_x	rt0697	rt0697:1
RXN-ACACT101ei_x_FWD-rt5445	ACACT101ei_x	rt5445	rt5445:1
RXN-ACACT101ei_x_FWD-rt6860	ACACT101ei_x	rt6860	rt6860:1
RXN-ACACT120i_m_FWD-rt0517	ACACT120i_m	rt0517	rt0517:1
RXN-ACACT120i_x_FWD-rt0697	ACACT120i_x	rt0697	rt0697:1
RXN-ACACT120i_x_FWD-rt5445	ACACT120i_x	rt5445	rt5445:1
RXN-ACACT120i_x_FWD-rt6860	ACACT120i_x	rt6860	rt6860:1
RXN-ACACT121ai_m_FWD-rt0517	ACACT121ai_m	rt0517	rt0517:1
RXN-ACACT121ai_x_FWD-rt0697	ACACT121ai_x	rt0697	rt0697:1
RXN-ACACT121ai_x_FWD-rt5445	ACACT121ai_x	rt5445	rt5445:1
RXN-ACACT121ai_x_FWD-rt6860	ACACT121ai_x	rt6860	rt6860:1
RXN-ACACT121di_x_FWD-rt0697	ACACT121di_x	rt0697	rt0697:1
RXN-ACACT121di_x_FWD-rt5445	ACACT121di_x	rt5445	rt5445:1
RXN-ACACT121di_x_FWD-rt6860	ACACT121di_x	rt6860	rt6860:1
RXN-ACACT122ei_x_FWD-rt0697	ACACT122ei_x	rt0697	rt0697:1
RXN-ACACT122ei_x_FWD-rt5445	ACACT122ei_x	rt5445	rt5445:1
RXN-ACACT122ei_x_FWD-rt6860	ACACT122ei_x	rt6860	rt6860:1
RXN-ACACT140i_m_FWD-rt0517	ACACT140i_m	rt0517	rt0517:1
RXN-ACACT140i_x_FWD-rt0697	ACACT140i_x	rt0697	rt0697:1
RXN-ACACT140i_x_FWD-rt5445	ACACT140i_x	rt5445	rt5445:1
RXN-ACACT140i_x_FWD-rt6860	ACACT140i_x	rt6860	rt6860:1
RXN-ACACT141ai_m_FWD-rt0517	ACACT141ai_m	rt0517	rt0517:1
RXN-ACACT141ai_x_FWD-rt0697	ACACT141ai_x	rt0697	rt0697:1
RXN-ACACT141ai_x_FWD-rt5445	ACACT141ai_x	rt5445	rt5445:1
RXN-ACACT141ai_x_FWD-rt6860	ACACT141ai_x	rt6860	rt6860:1
RXN-ACACT141bi_m_FWD-rt0517	ACACT141bi_m	rt0517	rt0517:1
RXN-ACACT141bi_x_FWD-rt0697	ACACT141bi_x	rt0697	rt0697:1
RXN-ACACT141bi_x_FWD-rt5445	ACACT141bi_x	rt5445	rt5445:1
RXN-ACACT141bi_x_FWD-rt6860	ACACT141bi_x	rt6860	rt6860:1
RXN-ACACT142i_x_FWD-rt0697	ACACT142i_x	rt0697	rt0697:1
